bitrate,channels,id,mode,recordId,size,url
"160kbps","Joint stereo","12427","CBR","4","21504000","ftp://mds:mds@ftp.mds-club.ru/Boris_Shtern_-_Rejs_tabachnogo_kontrabandista.mp3"
"128kbps","Joint stereo","12430","CBR","5","15511552","http://mds.mds-club.ru/Boris_Shtern_-_Ch'ja_planeta!.mp3"
"128kbps","Joint stereo","3629","CBR","5","15511552","http://mds.kallisto.ru/Boris_Shtern_-_Ch'ja_planeta!.mp3"
"128kbps","Joint stereo","11110","CBR","5","15511552","http://mds.datagrad.ru/download/Boris_Shtern_-_Ch'ja_planeta!.mp3"
"128kbps","Joint stereo","204","CBR","5","15511552","ftp://mds:mds@mds.kallisto.ru/Boris_Shtern_-_Ch'ja_planeta!.mp3"
"128kbps","Joint stereo","12429","CBR","5","15511552","ftp://mds:mds@ftp.mds-club.ru/Boris_Shtern_-_Ch'ja_planeta!.mp3"
"128kbps","Joint stereo","12432","CBR","6","35081490","http://mds.mds-club.ru/Gabriel'_Garsia_Markes_-_Pohorony_Velikoj_Mamy.mp3"
"128kbps","Joint stereo","3630","CBR","6","35081490","http://mds.kallisto.ru/Gabriel'_Garsia_Markes_-_Pohorony_Velikoj_Mamy.mp3"
"128kbps","Joint stereo","11111","CBR","6","35081490","http://mds.datagrad.ru/download/Gabriel'_Garsia_Markes_-_Pohorony_Velikoj_Mamy.mp3"
"128kbps","Joint stereo","410","CBR","6","35081490","ftp://mds:mds@mds.kallisto.ru/Gabriel'_Garsia_Markes_-_Pohorony_Velikoj_Mamy.mp3"
"128kbps","Joint stereo","12431","CBR","6","35081490","ftp://mds:mds@ftp.mds-club.ru/Gabriel'_Garsia_Markes_-_Pohorony_Velikoj_Mamy.mp3"
"160kbps","Joint stereo","12434","CBR","7","46999552","http://mds.mds-club.ru/Zherar_Klejn_-_Planeta_semi_masok.mp3"
"160kbps","Joint stereo","3631","CBR","7","46999552","http://mds.kallisto.ru/Zherar_Klejn_-_Planeta_semi_masok.mp3"
"160kbps","Joint stereo","11112","CBR","7","46999552","http://mds.datagrad.ru/download/Zherar_Klejn_-_Planeta_semi_masok.mp3"
"160kbps","Joint stereo","917","CBR","7","46999552","ftp://mds:mds@mds.kallisto.ru/Zherar_Klejn_-_Planeta_semi_masok.mp3"
"160kbps","Joint stereo","12433","CBR","7","46999552","ftp://mds:mds@ftp.mds-club.ru/Zherar_Klejn_-_Planeta_semi_masok.mp3"
"160kbps","Joint stereo","12436","CBR","8","43206656","http://mds.mds-club.ru/Zherar_Klejn_-_Samaja_uvazhaemaja_professija_zemli.mp3"
"160kbps","Joint stereo","3632","CBR","8","43206656","http://mds.kallisto.ru/Zherar_Klejn_-_Samaja_uvazhaemaja_professija_zemli.mp3"
"160kbps","Joint stereo","11113","CBR","8","43206656","http://mds.datagrad.ru/download/Zherar_Klejn_-_Samaja_uvazhaemaja_professija_zemli.mp3"
"160kbps","Joint stereo","918","CBR","8","43206656","ftp://mds:mds@mds.kallisto.ru/Zherar_Klejn_-_Samaja_uvazhaemaja_professija_zemli.mp3"
"160kbps","Joint stereo","12435","CBR","8","43206656","ftp://mds:mds@ftp.mds-club.ru/Zherar_Klejn_-_Samaja_uvazhaemaja_professija_zemli.mp3"
"128kbps","Joint stereo","12438","CBR","9","1658880","http://mds.mds-club.ru/Slushatel'_-_Vojna.mp3"
"128kbps","Joint stereo","1652","CBR","9","1658880","http://mds.kallisto.ru/Slushatel'_-_Vojna.mp3"
"128kbps","Joint stereo","11114","CBR","9","1658880","http://mds.datagrad.ru/download/Slushatel'_-_Vojna.mp3"
"128kbps","Joint stereo","1651","CBR","9","1658880","ftp://mds:mds@mds.kallisto.ru/Slushatel'_-_Vojna.mp3"
"128kbps","Joint stereo","12437","CBR","9","1658880","ftp://mds:mds@ftp.mds-club.ru/Slushatel'_-_Vojna.mp3"
"128kbps","Joint stereo","12440","CBR","10","2752512","http://mds.mds-club.ru/Slushatel'_-_In'.mp3"
"128kbps","Joint stereo","1650","CBR","10","2752512","http://mds.kallisto.ru/Slushatel'_-_In'.mp3"
"128kbps","Joint stereo","11115","CBR","10","2752512","http://mds.datagrad.ru/download/Slushatel'_-_In'.mp3"
"128kbps","Joint stereo","1649","CBR","10","2752512","ftp://mds:mds@mds.kallisto.ru/Slushatel'_-_In'.mp3"
"128kbps","Joint stereo","12439","CBR","10","2752512","ftp://mds:mds@ftp.mds-club.ru/Slushatel'_-_In'.mp3"
"128kbps","Joint stereo","12442","CBR","11","3543040","http://mds.mds-club.ru/Slushatel'_-_Chto_tam!.mp3"
"128kbps","Joint stereo","3633","CBR","11","3543040","http://mds.kallisto.ru/Slushatel'_-_Chto_tam!.mp3"
"128kbps","Joint stereo","11116","CBR","11","3543040","http://mds.datagrad.ru/download/Slushatel'_-_Chto_tam!.mp3"
"128kbps","Joint stereo","1648","CBR","11","3543040","ftp://mds:mds@mds.kallisto.ru/Slushatel'_-_Chto_tam!.mp3"
"128kbps","Joint stereo","12441","CBR","11","3543040","ftp://mds:mds@ftp.mds-club.ru/Slushatel'_-_Chto_tam!.mp3"
"128kbps","Stereo","12444","CBR","12","7831552","http://mds.mds-club.ru/Irina_Kuz'menko_-_Chetvertoe_sostojanie.mp3"
"128kbps","Stereo","3634","CBR","12","7831552","http://mds.kallisto.ru/Irina_Kuz'menko_-_Chetvertoe_sostojanie.mp3"
"128kbps","Stereo","11117","CBR","12","7831552","http://mds.datagrad.ru/download/Irina_Kuz'menko_-_Chetvertoe_sostojanie.mp3"
"128kbps","Stereo","504","CBR","12","7831552","ftp://mds:mds@mds.kallisto.ru/Irina_Kuz'menko_-_Chetvertoe_sostojanie.mp3"
"128kbps","Stereo","12443","CBR","12","7831552","ftp://mds:mds@ftp.mds-club.ru/Irina_Kuz'menko_-_Chetvertoe_sostojanie.mp3"
"128kbps","Joint stereo","12446","CBR","13","7454720","http://mds.mds-club.ru/Lin_Snouden_-_Ja_delaju_reklamu.mp3"
"128kbps","Joint stereo","3635","CBR","13","7454720","http://mds.kallisto.ru/Lin_Snouden_-_Ja_delaju_reklamu.mp3"
"128kbps","Joint stereo","11118","CBR","13","7454720","http://mds.datagrad.ru/download/Lin_Snouden_-_Ja_delaju_reklamu.mp3"
"128kbps","Joint stereo","573","CBR","13","7454720","ftp://mds:mds@mds.kallisto.ru/Lin_Snouden_-_Ja_delaju_reklamu.mp3"
"128kbps","Joint stereo","12445","CBR","13","7454720","ftp://mds:mds@ftp.mds-club.ru/Lin_Snouden_-_Ja_delaju_reklamu.mp3"
"128kbps","Joint stereo","12448","CBR","14","99694592","http://mds.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_01.mp3"
"128kbps","Joint stereo","3636","CBR","14","99694592","http://mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_01.mp3"
"128kbps","Joint stereo","11119","CBR","14","99694592","http://mds.datagrad.ru/download/Mihail_Uspenskij_-_Tam,_gde_nas_net_01.mp3"
"128kbps","Joint stereo","603","CBR","14","99694592","ftp://mds:mds@mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_01.mp3"
"128kbps","Joint stereo","12447","CBR","14","99694592","ftp://mds:mds@ftp.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_01.mp3"
"128kbps","Joint stereo","12450","CBR","15","146857984","http://mds.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_02.mp3"
"128kbps","Joint stereo","3637","CBR","15","146857984","http://mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_02.mp3"
"128kbps","Joint stereo","11120","CBR","15","146857984","http://mds.datagrad.ru/download/Mihail_Uspenskij_-_Tam,_gde_nas_net_02.mp3"
"128kbps","Joint stereo","604","CBR","15","146857984","ftp://mds:mds@mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_02.mp3"
"128kbps","Joint stereo","12449","CBR","15","146857984","ftp://mds:mds@ftp.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_02.mp3"
"160kbps","Joint stereo","12452","CBR","16","102072320","http://mds.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_03.mp3"
"160kbps","Joint stereo","3638","CBR","16","102072320","http://mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_03.mp3"
"160kbps","Joint stereo","11121","CBR","16","102072320","http://mds.datagrad.ru/download/Mihail_Uspenskij_-_Tam,_gde_nas_net_03.mp3"
"160kbps","Joint stereo","605","CBR","16","102072320","ftp://mds:mds@mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_03.mp3"
"160kbps","Joint stereo","12451","CBR","16","102072320","ftp://mds:mds@ftp.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_03.mp3"
"160kbps","Joint stereo","12454","CBR","17","85022720","http://mds.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_04.mp3"
"160kbps","Joint stereo","3639","CBR","17","85022720","http://mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_04.mp3"
"160kbps","Joint stereo","11122","CBR","17","85022720","http://mds.datagrad.ru/download/Mihail_Uspenskij_-_Tam,_gde_nas_net_04.mp3"
"160kbps","Joint stereo","606","CBR","17","85022720","ftp://mds:mds@mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_04.mp3"
"160kbps","Joint stereo","12453","CBR","17","85022720","ftp://mds:mds@ftp.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_04.mp3"
"160kbps","Joint stereo","12456","CBR","18","93921280","http://mds.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_05.mp3"
"160kbps","Joint stereo","3640","CBR","18","93921280","http://mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_05.mp3"
"160kbps","Joint stereo","11123","CBR","18","93921280","http://mds.datagrad.ru/download/Mihail_Uspenskij_-_Tam,_gde_nas_net_05.mp3"
"160kbps","Joint stereo","607","CBR","18","93921280","ftp://mds:mds@mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_05.mp3"
"160kbps","Joint stereo","12455","CBR","18","93921280","ftp://mds:mds@ftp.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_05.mp3"
"160kbps","Joint stereo","12458","CBR","19","133519360","http://mds.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_06.mp3"
"160kbps","Joint stereo","3641","CBR","19","133519360","http://mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_06.mp3"
"160kbps","Joint stereo","11124","CBR","19","133519360","http://mds.datagrad.ru/download/Mihail_Uspenskij_-_Tam,_gde_nas_net_06.mp3"
"160kbps","Joint stereo","608","CBR","19","133519360","ftp://mds:mds@mds.kallisto.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_06.mp3"
"160kbps","Joint stereo","12457","CBR","19","133519360","ftp://mds:mds@ftp.mds-club.ru/Mihail_Uspenskij_-_Tam,_gde_nas_net_06.mp3"
"128kbps","Joint stereo","12460","CBR","20","13766656","http://mds.mds-club.ru/Neizvestniy_avtor_-_Chelovek_Skhema.mp3"
"128kbps","Joint stereo","1782","CBR","20","13766656","http://mds.kallisto.ru/Neizvestniy_avtor_-_Chelovek_Skhema.mp3"
"128kbps","Joint stereo","11125","CBR","20","13766656","http://mds.datagrad.ru/download/Neizvestniy_avtor_-_Chelovek_Skhema.mp3"
"128kbps","Joint stereo","1781","CBR","20","13766656","ftp://mds:mds@mds.kallisto.ru/Neizvestniy_avtor_-_Chelovek_Skhema.mp3"
"128kbps","Joint stereo","12459","CBR","20","13766656","ftp://mds:mds@ftp.mds-club.ru/Neizvestniy_avtor_-_Chelovek_Skhema.mp3"
"160kbps","Joint stereo","12462","CBR","21","7450624","http://mds.mds-club.ru/Edmond_Gamil'ton_-_Manifest.mp3"
"160kbps","Joint stereo","3642","CBR","21","7450624","http://mds.kallisto.ru/Edmond_Gamil'ton_-_Manifest.mp3"
"160kbps","Joint stereo","11126","CBR","21","7450624","http://mds.datagrad.ru/download/Edmond_Gamil'ton_-_Manifest.mp3"
"160kbps","Joint stereo","1200","CBR","21","7450624","ftp://mds:mds@mds.kallisto.ru/Edmond_Gamil'ton_-_Manifest.mp3"
"160kbps","Joint stereo","12461","CBR","21","7450624","ftp://mds:mds@ftp.mds-club.ru/Edmond_Gamil'ton_-_Manifest.mp3"
"160kbps","Stereo","12464","CBR","22","31817728","http://mds.mds-club.ru/Neizvestnyj_avtor_-_Neizvestnyj_rasskaz.mp3"
"160kbps","Stereo","1780","CBR","22","31817728","http://mds.kallisto.ru/Neizvestnyj_avtor_-_Neizvestnyj_rasskaz.mp3"
"160kbps","Stereo","11127","CBR","22","31817728","http://mds.datagrad.ru/download/Neizvestnyj_avtor_-_Neizvestnyj_rasskaz.mp3"
"160kbps","Stereo","1779","CBR","22","31817728","ftp://mds:mds@mds.kallisto.ru/Neizvestnyj_avtor_-_Neizvestnyj_rasskaz.mp3"
"160kbps","Stereo","12463","CBR","22","31817728","ftp://mds:mds@ftp.mds-club.ru/Neizvestnyj_avtor_-_Neizvestnyj_rasskaz.mp3"
"160kbps","Stereo","12466","CBR","23","42070016","http://mds.mds-club.ru/Red'jard_Kipling_-_Maugli_(glava_Vesennij_beg).mp3"
"160kbps","Stereo","3643","CBR","23","42070016","http://mds.kallisto.ru/Red'jard_Kipling_-_Maugli_(glava_Vesennij_beg).mp3"
"160kbps","Stereo","11128","CBR","23","42070016","http://mds.datagrad.ru/download/Red'jard_Kipling_-_Maugli_(glava_Vesennij_beg).mp3"
"160kbps","Stereo","1616","CBR","23","42070016","ftp://mds:mds@mds.kallisto.ru/Red'jard_Kipling_-_Maugli_(glava_Vesennij_beg).mp3"
"160kbps","Stereo","12465","CBR","23","42070016","ftp://mds:mds@ftp.mds-club.ru/Red'jard_Kipling_-_Maugli_(glava_Vesennij_beg).mp3"
"160kbps","Stereo","12468","CBR","24","43745280","http://mds.mds-club.ru/Red'jard_Kipling_-_Maugli_(glava_Tigr,_tigr!).mp3"
"160kbps","Stereo","3644","CBR","24","43745280","http://mds.kallisto.ru/Red'jard_Kipling_-_Maugli_(glava_Tigr,_tigr!).mp3"
"160kbps","Stereo","11129","CBR","24","43745280","http://mds.datagrad.ru/download/Red'jard_Kipling_-_Maugli_(glava_Tigr,_tigr!).mp3"
"160kbps","Stereo","1617","CBR","24","43745280","ftp://mds:mds@mds.kallisto.ru/Red'jard_Kipling_-_Maugli_(glava_Tigr,_tigr!).mp3"
"160kbps","Stereo","12467","CBR","24","43745280","ftp://mds:mds@ftp.mds-club.ru/Red'jard_Kipling_-_Maugli_(glava_Tigr,_tigr!).mp3"
"192kbps","Stereo","12470","CBR","25","291438592","http://mds.mds-club.ru/roygbiv/other/Extra_Abook/Richard_Bah_Illusii_extra_mds.mp3"
"192kbps","Stereo","4753","CBR","25","291438592","http://mds.kallisto.ru/roygbiv/other/Extra_Abook/Richard_Bah_Illusii_extra_mds.mp3"
"192kbps","Stereo","11130","CBR","25","291438592","http://mds.datagrad.ru/download/roygbiv/other/Extra_Abook/Richard_Bah_Illusii_extra_mds.mp3"
"192kbps","Stereo","4752","CBR","25","291438592","ftp://mds:mds@mds.kallisto.ru/roygbiv/other/Extra_Abook/Richard_Bah_Illusii_extra_mds.mp3"
"192kbps","Stereo","12469","CBR","25","291438592","ftp://mds:mds@ftp.mds-club.ru/roygbiv/other/Extra_Abook/Richard_Bah_Illusii_extra_mds.mp3"
"128kbps","Joint stereo","12472","CBR","26","71112704","http://mds.mds-club.ru/roygbiv/other/Bah,_Richard_-_Chajka_Dzhonatan_Livingston.mp3"
"128kbps","Joint stereo","3645","CBR","26","71112704","http://mds.kallisto.ru/roygbiv/other/Bah,_Richard_-_Chajka_Dzhonatan_Livingston.mp3"
"128kbps","Joint stereo","11131","CBR","26","71112704","http://mds.datagrad.ru/download/roygbiv/other/Bah,_Richard_-_Chajka_Dzhonatan_Livingston.mp3"
"112kbps","Single channel","691","CBR","26","18416281","ftp://mds:mds@mds.kallisto.ru/roygbiv/other/Bah_Chajka_po_imeni_Dzhonatan_Livingston.wma"
"128kbps","Joint stereo","1783","CBR","26","71112704","ftp://mds:mds@mds.kallisto.ru/roygbiv/other/Bah,_Richard_-_Chajka_Dzhonatan_Livingston.mp3"
"128kbps","Joint stereo","12471","CBR","26","71112704","ftp://mds:mds@ftp.mds-club.ru/roygbiv/other/Bah,_Richard_-_Chajka_Dzhonatan_Livingston.mp3"
"128kbps","Stereo","12474","CBR","27","45733888","http://mds.mds-club.ru/Robert_Sil'verberg_-_Kostjanoj_Dom.mp3"
"128kbps","Stereo","3646","CBR","27","45733888","http://mds.kallisto.ru/Robert_Sil'verberg_-_Kostjanoj_Dom.mp3"
"128kbps","Stereo","11132","CBR","27","45733888","http://mds.datagrad.ru/download/Robert_Sil'verberg_-_Kostjanoj_Dom.mp3"
"128kbps","Stereo","1620","CBR","27","45733888","ftp://mds:mds@mds.kallisto.ru/Robert_Sil'verberg_-_Kostjanoj_Dom.mp3"
"128kbps","Stereo","12473","CBR","27","45733888","ftp://mds:mds@ftp.mds-club.ru/Robert_Sil'verberg_-_Kostjanoj_Dom.mp3"
"128kbps","Joint stereo","12476","CBR","28","33378620","http://mds.mds-club.ru/Robert_Shekli_-_Zajac.mp3"
"128kbps","Joint stereo","3647","CBR","28","33378620","http://mds.kallisto.ru/Robert_Shekli_-_Zajac.mp3"
"128kbps","Joint stereo","733","CBR","28","33378620","ftp://mds:mds@mds.kallisto.ru/Robert_Shekli_-_Zajac.mp3"
"128kbps","Joint stereo","12475","CBR","28","22118400","ftp://mds:mds@ftp.mds-club.ru/Robert_Shekli_-_Zajac.mp3"
"160kbps","Joint stereo","12478","CBR","29","15849472","http://mds.mds-club.ru/Robert_Shekli_-_Pijavka_(chast_rasskaza_iz_pervoj_peredachi).mp3"
"160kbps","Joint stereo","3648","CBR","29","15849472","http://mds.kallisto.ru/Robert_Shekli_-_Pijavka_(chast_rasskaza_iz_pervoj_peredachi).mp3"
"160kbps","Joint stereo","11134","CBR","29","15849472","http://mds.datagrad.ru/download/Robert_Shekli_-_Pijavka_(chast_rasskaza_iz_pervoj_peredachi).mp3"
"160kbps","Joint stereo","720","CBR","29","15849472","ftp://mds:mds@mds.kallisto.ru/Robert_Shekli_-_Pijavka_(chast_rasskaza_iz_pervoj_peredachi).mp3"
"160kbps","Joint stereo","12477","CBR","29","15849472","ftp://mds:mds@ftp.mds-club.ru/Robert_Shekli_-_Pijavka_(chast_rasskaza_iz_pervoj_peredachi).mp3"
"173kbps","Stereo","12480","VBR","30","7716864","http://mds.mds-club.ru/Robert_Shekli_-_Ritual_(nachalo).mp3"
"173kbps","Stereo","3649","VBR","30","7716864","http://mds.kallisto.ru/Robert_Shekli_-_Ritual_(nachalo).mp3"
"173kbps","Stereo","11135","VBR","30","7716864","http://mds.datagrad.ru/download/Robert_Shekli_-_Ritual_(nachalo).mp3"
"173kbps","Stereo","727","VBR","30","7716864","ftp://mds:mds@mds.kallisto.ru/Robert_Shekli_-_Ritual_(nachalo).mp3"
"173kbps","Stereo","12479","VBR","30","7716864","ftp://mds:mds@ftp.mds-club.ru/Robert_Shekli_-_Ritual_(nachalo).mp3"
"169kbps","Stereo","12482","VBR","31","42291200","http://mds.mds-club.ru/Robert_Shekli_-_Forma.mp3"
"169kbps","Stereo","3650","VBR","31","42291200","http://mds.kallisto.ru/Robert_Shekli_-_Forma.mp3"
"169kbps","Stereo","11136","VBR","31","42291200","http://mds.datagrad.ru/download/Robert_Shekli_-_Forma.mp3"
"169kbps","Stereo","709","VBR","31","42291200","ftp://mds:mds@mds.kallisto.ru/Robert_Shekli_-_Forma.mp3"
"169kbps","Stereo","12481","VBR","31","42291200","ftp://mds:mds@ftp.mds-club.ru/Robert_Shekli_-_Forma.mp3"
"192kbps","Stereo","12484","CBR","32","21669888","http://mds.mds-club.ru/Robert_Shekli_-_Jazyk_ljubvi.mp3"
"192kbps","Stereo","3651","CBR","32","21669888","http://mds.kallisto.ru/Robert_Shekli_-_Jazyk_ljubvi.mp3"
"192kbps","Stereo","11137","CBR","32","21669888","http://mds.datagrad.ru/download/Robert_Shekli_-_Jazyk_ljubvi.mp3"
"192kbps","Stereo","711","CBR","32","21669888","ftp://mds:mds@mds.kallisto.ru/Robert_Shekli_-_Jazyk_ljubvi.mp3"
"192kbps","Stereo","12483","CBR","32","21669888","ftp://mds:mds@ftp.mds-club.ru/Robert_Shekli_-_Jazyk_ljubvi.mp3"
"128kbps","Joint stereo","12486","CBR","33","51570141","http://mds.mds-club.ru/Rodzher_Zheljazny_-_Avtomobil'-d'javol.mp3"
"128kbps","Joint stereo","3652","CBR","33","51570141","http://mds.kallisto.ru/Rodzher_Zheljazny_-_Avtomobil'-d'javol.mp3"
"","","16725","","33","0","http://mds.kallisto.ru/hell/Ro_Man/Rodzher_Zheljazny_-_Avto-dyavol.mp3"
"128kbps","Joint stereo","11138","CBR","33","33910784","http://mds.datagrad.ru/download/Rodzher_Zheljazny_-_Avtomobil'-d'javol.mp3"
"128kbps","Joint stereo","746","CBR","33","51570141","ftp://mds:mds@mds.kallisto.ru/Rodzher_Zheljazny_-_Avtomobil'-d'javol.mp3"
"128kbps","Joint stereo","12485","CBR","33","33910784","ftp://mds:mds@ftp.mds-club.ru/Rodzher_Zheljazny_-_Avtomobil'-d'javol.mp3"
"128kbps","Joint stereo","12488","CBR","34","16224903","http://mds.mds-club.ru/Rodzher_Zheljazny_-_Proizvedenie_neobyknovennoj_krasoty.mp3"
"128kbps","Joint stereo","3653","CBR","34","16224903","http://mds.kallisto.ru/Rodzher_Zheljazny_-_Proizvedenie_neobyknovennoj_krasoty.mp3"
"","","16726","","34","0","http://mds.kallisto.ru/hell/Ro_Man/Rodzher_Zheljazny_-_Proizvedenie_neobyknovennoj_krasoty-new.mp3"
"128kbps","Joint stereo","760","CBR","34","16224903","ftp://mds:mds@mds.kallisto.ru/Rodzher_Zheljazny_-_Proizvedenie_neobyknovennoj_krasoty.mp3"
"128kbps","Joint stereo","12487","CBR","34","11137024","ftp://mds:mds@ftp.mds-club.ru/Rodzher_Zheljazny_-_Proizvedenie_neobyknovennoj_krasoty.mp3"
"128kbps","Joint stereo","12492","CBR","37","69980160","http://mds.mds-club.ru/Stiven_King_-_Dolgij_dzhont.mp3"
"128kbps","Joint stereo","3655","CBR","37","69980160","http://mds.kallisto.ru/Stiven_King_-_Dolgij_dzhont.mp3"
"128kbps","Joint stereo","11141","CBR","37","69980160","http://mds.datagrad.ru/download/Stiven_King_-_Dolgij_dzhont.mp3"
"128kbps","Joint stereo","819","CBR","37","69980160","ftp://mds:mds@mds.kallisto.ru/Stiven_King_-_Dolgij_dzhont.mp3"
"128kbps","Joint stereo","12491","CBR","37","69980160","ftp://mds:mds@ftp.mds-club.ru/Stiven_King_-_Dolgij_dzhont.mp3"
"128kbps","Joint stereo","12494","CBR","38","50823168","http://mds.mds-club.ru/Stiven_King_-_Ostavshijsja_v_zhivyh.mp3"
"128kbps","Joint stereo","3656","CBR","38","50823168","http://mds.kallisto.ru/Stiven_King_-_Ostavshijsja_v_zhivyh.mp3"
"128kbps","Joint stereo","11142","CBR","38","50823168","http://mds.datagrad.ru/download/Stiven_King_-_Ostavshijsja_v_zhivyh.mp3"
"128kbps","Joint stereo","822","CBR","38","50823168","ftp://mds:mds@mds.kallisto.ru/Stiven_King_-_Ostavshijsja_v_zhivyh.mp3"
"128kbps","Joint stereo","12493","CBR","38","50823168","ftp://mds:mds@ftp.mds-club.ru/Stiven_King_-_Ostavshijsja_v_zhivyh.mp3"
"128kbps","Joint stereo","12496","CBR","39","32558204","http://mds.mds-club.ru/Stiven_King_-_Pole_boja.mp3"
"128kbps","Joint stereo","3657","CBR","39","32558204","http://mds.kallisto.ru/Stiven_King_-_Pole_boja.mp3"
"","","16727","","39","0","http://mds.kallisto.ru/hell/Ro_Man/Stiven_King_-_Pole_boja-new.mp3"
"128kbps","Joint stereo","11143","CBR","39","21626880","http://mds.datagrad.ru/download/Stiven_King_-_Pole_boja.mp3"
"128kbps","Joint stereo","823","CBR","39","32558204","ftp://mds:mds@mds.kallisto.ru/Stiven_King_-_Pole_boja.mp3"
"128kbps","Joint stereo","12495","CBR","39","21626880","ftp://mds:mds@ftp.mds-club.ru/Stiven_King_-_Pole_boja.mp3"
"168kbps","Stereo","12498","VBR","40","45088768","http://mds.mds-club.ru/Teodor_Stardzhon_-_Biznes_na_strahe.mp3"
"168kbps","Stereo","3658","VBR","40","45088768","http://mds.kallisto.ru/Teodor_Stardzhon_-_Biznes_na_strahe.mp3"
"168kbps","Stereo","11144","VBR","40","45088768","http://mds.datagrad.ru/download/Teodor_Stardzhon_-_Biznes_na_strahe.mp3"
"168kbps","Stereo","831","VBR","40","45088768","ftp://mds:mds@mds.kallisto.ru/Teodor_Stardzhon_-_Biznes_na_strahe.mp3"
"168kbps","Stereo","12497","VBR","40","45088768","ftp://mds:mds@ftp.mds-club.ru/Teodor_Stardzhon_-_Biznes_na_strahe.mp3"
"160kbps","Joint stereo","12500","CBR","41","42205184","http://mds.mds-club.ru/Tomas_Uajld_-_Chelovek,_kotoryj_upravljal_soboj.mp3"
